trialNum	trialTime	param_1	param_2	difference	isCorrect	isAscending	side	scalingVal	dotSize	numPoints	dotStyle	dotHue
222	1000.0	0.9400000000000001	0.9	0.040000000000000036	true	false	left	0.9	12.0	100.0	6	1
223	976.0	0.93	0.9	0.030000000000000027	true	false	left	0.9	12.0	100.0	6	1
224	1017.0	0.92	0.9	0.020000000000000018	true	false	left	0.9	12.0	100.0	6	1
225	1297.0	0.91	0.9	0.010000000000000009	true	false	left	0.9	12.0	100.0	6	1
226	2278.0	0.9	0.9	0.0	false	false	right	0.9	12.0	100.0	6	1
227	1049.0	0.696	0.6	0.09599999999999997	true	false	right	0.9	12.0	100.0	6	1
228	2545.0	0.6859999999999999	0.6	0.08599999999999997	false	false	right	0.9	12.0	100.0	6	1
229	1296.0	0.716	0.6	0.11599999999999999	true	false	right	0.9	12.0	100.0	6	1
230	1089.0	0.706	0.6	0.10599999999999998	true	false	right	0.9	12.0	100.0	6	1
231	1945.0	0.696	0.6	0.09599999999999997	false	false	right	0.9	12.0	100.0	6	1
232	1113.0	0.726	0.6	0.126	false	false	left	0.9	12.0	100.0	6	1
233	1305.0	0.756	0.6	0.15600000000000003	false	false	left	0.9	12.0	100.0	6	1
234	848.0	0.786	0.6	0.18600000000000005	true	false	right	0.9	12.0	100.0	6	1
235	800.0	0.776	0.6	0.17600000000000005	true	false	right	0.9	12.0	100.0	6	1
236	1017.0	0.766	0.6	0.16600000000000004	true	false	right	0.9	12.0	100.0	6	1
237	944.0	0.756	0.6	0.15600000000000003	true	false	right	0.9	12.0	100.0	6	1
238	785.0	0.746	0.6	0.14600000000000002	false	false	left	0.9	12.0	100.0	6	1
239	632.0	0.7759999999999999	0.6	0.17599999999999993	true	false	left	0.9	12.0	100.0	6	1
240	768.0	0.7659999999999999	0.6	0.16599999999999993	true	false	right	0.9	12.0	100.0	6	1
241	897.0	0.7559999999999999	0.6	0.15599999999999992	true	false	left	0.9	12.0	100.0	6	1
242	1048.0	0.7459999999999999	0.6	0.1459999999999999	true	false	left	0.9	12.0	100.0	6	1
243	888.0	0.7359999999999999	0.6	0.1359999999999999	true	false	left	0.9	12.0	100.0	6	1
244	1193.0	0.7259999999999999	0.6	0.1259999999999999	true	false	right	0.9	12.0	100.0	6	1
